Numer of labeled samples:14229   AUC:0.986
Numer of labeled samples:14263   AUC:0.988
Numer of labeled samples:14237   AUC:0.988
Numer of labeled samples:14235   AUC:0.987
Numer of labeled samples:14241   AUC:0.987
Numer of labeled samples:14244   AUC:0.988
Numer of labeled samples:14225   AUC:0.986
Numer of labeled samples:14224   AUC:0.987
Numer of labeled samples:14236   AUC:0.987
Numer of labeled samples:14251   AUC:0.987
Numer of labeled samples:14230   AUC:0.986
Numer of labeled samples:14261   AUC:0.987
Numer of labeled samples:14232   AUC:0.986
Numer of labeled samples:14247   AUC:0.986
Numer of labeled samples:14236   AUC:0.986
Numer of labeled samples:14259   AUC:0.986
Numer of labeled samples:14240   AUC:0.986
Numer of labeled samples:14262   AUC:0.987
Numer of labeled samples:14239   AUC:0.987
Numer of labeled samples:14236   AUC:0.985
Numer of labeled samples:14257   AUC:0.987
Numer of labeled samples:14265   AUC:0.986
Numer of labeled samples:14242   AUC:0.986
Numer of labeled samples:14264   AUC:0.986
Numer of labeled samples:14250   AUC:0.987
Numer of labeled samples:14253   AUC:0.986
Numer of labeled samples:14261   AUC:0.986
Numer of labeled samples:14265   AUC:0.985
Numer of labeled samples:14272   AUC:0.987
Numer of labeled samples:14259   AUC:0.986
Numer of labeled samples:14262   AUC:0.985
Numer of labeled samples:14266   AUC:0.986
Numer of labeled samples:14269   AUC:0.986
Numer of labeled samples:14259   AUC:0.986
Numer of labeled samples:14263   AUC:0.986
Numer of labeled samples:14275   AUC:0.986
Numer of labeled samples:14257   AUC:0.986
Numer of labeled samples:14274   AUC:0.987
Numer of labeled samples:14275   AUC:0.986
Numer of labeled samples:14307   AUC:0.986
Numer of labeled samples:14262   AUC:0.986
Numer of labeled samples:14259   AUC:0.985
Numer of labeled samples:14276   AUC:0.985
Numer of labeled samples:14285   AUC:0.986
Numer of labeled samples:14267   AUC:0.984
Numer of labeled samples:14263   AUC:0.985
Numer of labeled samples:14266   AUC:0.984
Numer of labeled samples:14275   AUC:0.986
Numer of labeled samples:14272   AUC:0.985
Numer of labeled samples:14279   AUC:0.986
Numer of labeled samples:14274   AUC:0.984
Numer of labeled samples:14298   AUC:0.985
Numer of labeled samples:14283   AUC:0.985
Numer of labeled samples:14291   AUC:0.983
Numer of labeled samples:14291   AUC:0.986
Numer of labeled samples:14282   AUC:0.984
Numer of labeled samples:14304   AUC:0.986
Numer of labeled samples:14287   AUC:0.985
Numer of labeled samples:14289   AUC:0.985
Numer of labeled samples:14303   AUC:0.986
Numer of labeled samples:14301   AUC:0.985
Numer of labeled samples:14304   AUC:0.986
Numer of labeled samples:14294   AUC:0.985
Numer of labeled samples:14300   AUC:0.985
Numer of labeled samples:14290   AUC:0.985
Numer of labeled samples:14305   AUC:0.986
Numer of labeled samples:14288   AUC:0.985
Numer of labeled samples:14311   AUC:0.987
Numer of labeled samples:14288   AUC:0.985
Numer of labeled samples:14312   AUC:0.985
Numer of labeled samples:14295   AUC:0.985
Numer of labeled samples:14314   AUC:0.986
Numer of labeled samples:14286   AUC:0.985
Numer of labeled samples:14307   AUC:0.985
Numer of labeled samples:14294   AUC:0.984
Numer of labeled samples:14298   AUC:0.984
Numer of labeled samples:14300   AUC:0.984
Numer of labeled samples:14305   AUC:0.984
Numer of labeled samples:14306   AUC:0.984
Numer of labeled samples:14313   AUC:0.984
Numer of labeled samples:14300   AUC:0.983
Numer of labeled samples:14311   AUC:0.985
Numer of labeled samples:14294   AUC:0.983
Numer of labeled samples:14324   AUC:0.984
Numer of labeled samples:14294   AUC:0.983
Numer of labeled samples:14315   AUC:0.984
Numer of labeled samples:14308   AUC:0.983
Numer of labeled samples:14312   AUC:0.986
Numer of labeled samples:14305   AUC:0.983
Numer of labeled samples:14312   AUC:0.983
Numer of labeled samples:14306   AUC:0.984
Numer of labeled samples:14334   AUC:0.984
Numer of labeled samples:14302   AUC:0.983
Numer of labeled samples:14301   AUC:0.983
Numer of labeled samples:14327   AUC:0.983
Numer of labeled samples:14322   AUC:0.984
Numer of labeled samples:14318   AUC:0.983
Numer of labeled samples:14327   AUC:0.985
Numer of labeled samples:14312   AUC:0.983
Numer of labeled samples:14324   AUC:0.984
Numer of labeled samples:14320   AUC:0.986
Numer of labeled samples:14337   AUC:0.983
Numer of labeled samples:14311   AUC:0.984
Numer of labeled samples:14325   AUC:0.984
Numer of labeled samples:14327   AUC:0.986
Numer of labeled samples:14338   AUC:0.984
Numer of labeled samples:14318   AUC:0.985
Numer of labeled samples:14333   AUC:0.984
Numer of labeled samples:14331   AUC:0.984
Numer of labeled samples:14324   AUC:0.984
Numer of labeled samples:14331   AUC:0.984
Numer of labeled samples:14329   AUC:0.985
Numer of labeled samples:14323   AUC:0.984
Numer of labeled samples:14322   AUC:0.983
Numer of labeled samples:14327   AUC:0.986
Numer of labeled samples:14342   AUC:0.983
Numer of labeled samples:14335   AUC:0.984
Numer of labeled samples:14330   AUC:0.983
Numer of labeled samples:14332   AUC:0.983
Numer of labeled samples:14329   AUC:0.983
Numer of labeled samples:14336   AUC:0.983
